timestamp,pid,stat,cpu_percent,mem_percent,rss_kb,vsz_kb,nlwp,command
2026-06-04 06:17:55,30,S,11.7,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:17:56,30,S,3.4,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:17:57,30,S,2.0,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:17:59,30,S,1.4,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:00,30,S,1.1,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:01,30,S,0.9,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:02,30,S,0.7,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:04,30,S,0.6,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:05,30,S,0.5,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:06,30,S,0.5,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:07,30,S,0.4,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:08,30,S,0.4,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:10,30,S,0.3,0.0,1836,2800,1,agent-leak-app-
2026-06-04 06:18:11,30,S,0.3,0.0,1836,2800,1,agent-leak-app-
