timestamp,pid,stat,cpu_percent,mem_percent,rss_kb,vsz_kb,nlwp,command
2026-06-04 06:19:51,39,SN,6.8,0.2,17096,22288,1,agent-leak-app-
2026-06-04 06:19:52,39,SN,1.7,0.2,17096,22288,1,agent-leak-app-
2026-06-04 06:19:53,39,SN,1.3,0.5,42700,47892,1,agent-leak-app-
2026-06-04 06:19:55,39,SN,0.9,0.5,42700,47892,1,agent-leak-app-
2026-06-04 06:19:56,39,SN,0.9,0.8,68304,73496,1,agent-leak-app-
2026-06-04 06:19:57,39,SN,0.7,0.8,68304,73496,1,agent-leak-app-
2026-06-04 06:19:58,39,SN,0.6,0.8,68304,73496,1,agent-leak-app-
2026-06-04 06:19:59,39,SN,0.5,1.1,93908,99100,1,agent-leak-app-
2026-06-04 06:20:01,39,SN,0.4,1.1,93908,99100,1,agent-leak-app-
2026-06-04 06:20:02,39,SN,0.4,1.4,119512,124704,1,agent-leak-app-
2026-06-04 06:20:03,39,SN,0.3,1.4,119512,124704,1,agent-leak-app-
2026-06-04 06:20:04,39,SN,0.3,1.4,119512,124704,1,agent-leak-app-
2026-06-04 06:20:06,39,SN,0.3,1.7,145116,150308,1,agent-leak-app-
2026-06-04 06:20:07,39,SN,0.3,1.7,145116,150308,1,agent-leak-app-
