timestamp,pid,stat,cpu_percent,mem_percent,rss_kb,vsz_kb,nlwp,command
2026-06-04 06:20:50,39,SN,9.7,0.2,17104,22288,1,agent-leak-app-
2026-06-04 06:20:51,39,SN,2.4,0.2,17104,22288,1,agent-leak-app-
2026-06-04 06:20:52,39,SN,1.7,0.5,42708,47892,1,agent-leak-app-
2026-06-04 06:20:53,39,SN,1.2,0.5,42708,47892,1,agent-leak-app-
